ID,Filename,Date Formatted,Subject,Message ID,Domain,Email Address,File Size (KB),Modified
1,241016-residential-rental-agreement-1803-243-franklin-st.pdf,16/10/2024,residential-rental-agreement-1803-243-franklin-st,N/A,N/A,N/A,606.74,14/10/2025 07:27
2,250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf,07/02/2025,250207 - Welcome to Areal Property  Your New Property Management Team,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,geopod-ismtpd-9,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,89.80,31/10/2025 02:12
3,250207-Emergency Maintenance Trades Contact List Hawthorn.pdf,07/02/2025,Emergency Maintenance Trades Contact List Hawthorn,N/A,N/A,N/A,184.09,07/02/2025 14:12
4,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf",25/02/2025,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,geopod-ismtpd-7,VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,77.32,31/10/2025 02:12
5,250225-Receipt # 85835.pdf,25/02/2025,Receipt # 85835,N/A,N/A,N/A,84.07,25/02/2025 18:39
6,250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf,25/03/2025,250325 - Areal monthly after-hours trades list update,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,geopod-ismtpd-9,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,78.44,31/10/2025 02:12
7,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf",25/03/2025,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,geopod-ismtpd-canary-0,rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,77.80,31/10/2025 02:12
8,250325-Receipt # 87045.pdf,25/03/2025,Receipt # 87045,N/A,N/A,N/A,87.62,25/03/2025 18:44
9,250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf,01/04/2025,250401 - Areal monthly after-hours trades list update,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,geopod-ismtpd-0,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,78.63,31/10/2025 02:12
10,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf,02/04/2025,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails,CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com,mail.gmail.com,CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com,116186.74,31/10/2025 02:12
