EVID ID,Filename,Date,Category,Subject,Message ID,Email,SHA256,File Size (KB),Modified
EVID-001,241016-residential-rental-agreement-1803-243-franklin-st.pdf,16/10/2024,Tenancy,residential-rental-agreement-1803-243-franklin-st,N/A,,a1d5a0a2b515341f...,606.7,14/10/2025
EVID-002,250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf,07/02/2025,Property Mgmt,250207 - Welcome to Areal Property  Your New Property Management Team,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,99e445422a9b72c2...,89.8,31/10/2025
EVID-003,250207-Emergency Maintenance Trades Contact List Hawthorn.pdf,07/02/2025,Maintenance,Emergency Maintenance Trades Contact List Hawthorn,N/A,,073a31afc5aa1d7e...,184.1,07/02/2025
EVID-004,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf",25/02/2025,Receipt,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,1ecdab33c7e3e156...,77.3,31/10/2025
EVID-005,250225-Receipt # 85835.pdf,25/02/2025,Receipt,Receipt # 85835,N/A,,5504c44086c6b68f...,84.1,25/02/2025
EVID-006,250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf,25/03/2025,Property Mgmt,250325 - Areal monthly after-hours trades list update,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,008dacf5bc15e364...,78.4,31/10/2025
EVID-007,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf",25/03/2025,Receipt,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,e4bc2050bf91127e...,77.8,31/10/2025
EVID-008,250325-Receipt # 87045.pdf,25/03/2025,Receipt,Receipt # 87045,N/A,,86959ed5985089c6...,87.6,25/03/2025
EVID-009,250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf,01/04/2025,Property Mgmt,250401 - Areal monthly after-hours trades list update,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,7f9e62404d49f3de...,78.6,31/10/2025
EVID-010,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf,02/04/2025,Maintenance,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails,CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com,CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com,c28d7380c24042e0...,116186.7,31/10/2025
