"EVID ID","Filename","Date Formatted","Subject","Message ID","Domain","Email Address","File Size (KB)","SHA256","SHA512","file_category","Raw URL","storage_path","ID","file_number","Modified (A)","Modified (B)","Notes"
"EVID-001","241016-residential-rental-agreement-1803-243-franklin-st.pdf","16/10/2024","residential-rental-agreement-1803-243-franklin-st","N/A","N/A","N/A","606.74","a1d5a0a2b515341f52bdbec58bd02d44480b4e24a2d7d329b2d15537d1c939b6","a70cf68e5e42af1f342781d2efe5b7b83d3aaf9f85a5b16d363667b44ff5bc8d720fd82ed9ba658a44b6230766e5c7487303d8103efe3512862231dc1a8a0982","Tenancy Agreement","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/241016-residential-rental-agreement-1803-243-franklin-st.pdf","Root","1","1","14/10/2025 07:27","14/10/2025 07:27",""
"EVID-002","250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf","07/02/2025","250207 - Welcome to Areal Property  Your New Property Management Team","bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9","geopod-ismtpd","bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9","89.80","99e445422a9b72c254b8cde97c1149d0e5f205893dba8bb25a71b0e456b5e763","af73b961108d75a8566956cce2963cd4514a42b0e7b589da782197682094396e1492706783273794c98a435e21d42795c31f5c6dd9af49bbb224e1045d80c150","Property Management","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250207%20-%20Welcome%20to%20Areal%20Property%20%20Your%20New%20Property%20Management%20Team%20-%20bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf","Root","2","2","31/10/2025 02:12","31/10/2025 02:12",""
"EVID-003","250207-Emergency Maintenance Trades Contact List Hawthorn.pdf","07/02/2025","Emergency Maintenance Trades Contact List Hawthorn","N/A","N/A","N/A","184.09","073a31afc5aa1d7e08667a9390e35f1da18e4774f49b574b3c3b546edef420b0","6f31edaf42dee8be339cd3e74c1915bef43c7868d84da1bfd4f4bafa265d116f5ec24ab2b1ae75d1c9e2ae304bddea37206b48799336f93a53a546a24fc8bbd3","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250207-Emergency%20Maintenance%20Trades%20Contact%20List%20Hawthorn.pdf","Root","3","3","07/02/2025 14:12","07/02/2025 14:12",""
"EVID-004","250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf","25/02/2025","250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000","VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7","geopod-ismtpd","VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7","77.32","1ecdab33c7e3e156d17799417c0ede34b1694ce2d577bb56429af5953a3d05ac","782ca6a27d863ac3c6f994203d19f9c00de8b139064fc2c641c40ad48c4d00e08bdd505940071983da56840912e4da2a2cd5a43a45df094944d02db0548e9512","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250225%20-%20Receipt%20of%20payment%20for%201803_243%20Franklin%20St%2C%20Melbourne%20VIC%203000%20-%20VvSmC2yFSZCtbt6d7NnvMw%40geopod-ismtpd-7.pdf","Root","4","4","31/10/2025 02:12","31/10/2025 02:12",""
"EVID-005","250225-Receipt # 85835.pdf","25/02/2025","Receipt # 85835","N/A","N/A","N/A","84.07","5504c44086c6b68fcd3c74e4006cf6dac1bde3bab0f5ca0ab4f85bc8f0ec93c4","fac8059c7679488515f144972a185668804e5685d9eb1667a158b62d3b7cb20d1f41993e5ae4f5a55915ff04ee15bbf6654d4a0aacdc311ea0be15cf13406788","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250225-Receipt%20%23%2085835.pdf","Root","5","5","25/02/2025 18:39","25/02/2025 18:39",""
"EVID-006","250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf","25/03/2025","250325 - Areal monthly after-hours trades list update","TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9","geopod-ismtpd","TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9","78.44","008dacf5bc15e364ae71a093984f7252c2a8b40e92545ea8def61952e99ec679","3e2ce0003ebef8cb0bea2d8c73e498d1ad8dc865a558ff5b9a59d1247e8f432f922a060feb48eb8241af63fa90343fd2215ab0bea8d7feca5e097c57c374f5df","Property Management","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250325%20-%20Areal%20monthly%20after-hours%20trades%20list%20update%20-%20TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf","Root","6","6","31/10/2025 02:12","31/10/2025 02:12",""
"EVID-007","250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf","25/03/2025","250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000","rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0","geopod-ismtpd","rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0","77.80","e4bc2050bf91127ef265259e871bc57cbb34d201c46c0340e083f41bab44926f","d769ec7ac43b67cfc0523e347e527dd5ef1634753dbb51dc7f2b637d62dc67bd94b7b9f3f117c66701a5a787033247805ee8f2d8219781dab1e106fb1aefd0b5","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250325%20-%20Receipt%20of%20payment%20for%201803_243%20Franklin%20St%2C%20Melbourne%20VIC%203000%20-%20rAeUl6dhT1Kyd4D9Bf1uPA%40geopod-ismtpd-canary-0.pdf","Root","7","7","31/10/2025 02:12","31/10/2025 02:12",""
"EVID-008","250325-Receipt # 87045.pdf","25/03/2025","Receipt # 87045","N/A","N/A","N/A","87.62","86959ed5985089c697222c4fafa8cd31afa563f597cf88c027b5352e97f2aa2b","eb4f1bf73c9fd90560a2ee534a8baff07c465bd54e11c7850ad070d2f72e547853879bee9570513ada16ef8593d0a0212d697236e8d50284bcdaf6a5b9aceb0a","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250325-Receipt%20%23%2087045.pdf","Root","8","8","25/03/2025 18:44","25/03/2025 18:44",""
"EVID-009","250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf","01/04/2025","250401 - Areal monthly after-hours trades list update","LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0","geopod-ismtpd","LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0","78.63","7f9e62404d49f3dee42c815905c91afd932d9f9ac983aa51d04e083a31b6ed66","5d592c032eff3dd0a0d33beb583ac2c1688adaa17bc8e5a55d7cdf35a1c562b86ed97304680c3c21d74fe3c674d3cd76ac4c08c4369b0e9c64913c3e5368d1f8","Property Management","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250401%20-%20Areal%20monthly%20after-hours%20trades%20list%20update%20-%20LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf","Root","9","9","31/10/2025 02:12","31/10/2025 02:12",""
"EVID-010","250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf","02/04/2025","250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails","CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com","gmail.com","CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com","116186.74","c28d7380c24042e03a9e7252573f833fd2d92fcc6665592a43345a7869ed00f9","a77b02ac28a18ecef46fe9ffc1a8f91892c800498f94d5adab77d33264723359c40f712209690fbcb51659f103106a01b0a1753cf68f91c5841f9637954cc1b5","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250402%20-%20Non-Urgent%20Maintenance%20Request%20(1803_243%20Franklin%20st)%20%20Broken%20Bed%20Frame%20with%20Exposed%20Nails%20-%20CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf","Root","10","10","31/10/2025 02:12","31/10/2025 02:12",""
