EVID ID,Filename,Date Formatted,Subject,Message ID,Domain,Email Address,File Size (KB),SHA256,SHA512,file_category,Raw URL,storage_path,ID,file_number,Modified (A),Modified (B),Fully detail clean OCR
100001,241016-residential-rental-agreement-1803-243-franklin-st.pdf,2024-10-16,241016-residential-rental-agreement-1803-243-franklin-st,,,,0,411caf8e907c739165d11fcf7b5ca707f1ad46ed6f26654c321c670286a65415,c0c4fb5f6163400a69948f61a48c5eada933e5619fe326dbcc3c4d457894608699f99c4bdfc1b1eb20c3fd6ccaac16a838600bbdd4442ecc4e3fd73ec478b418,Legal,,Root,200001,5001,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '241016-residential-rental-agreement-1803-243-franklin-st.pdf'; Document date: 2024-10-16; Subject: 241016-residential-rental-agreement-1803-243-franklin-st; Categorized as: Legal; SHA256 hash: 411caf8e907c739165d11fcf7b5ca707f1ad46ed6f26654c321c670286a65415; SHA512 hash: c0c4fb5f6163400a69948f61a48c5eada933e5619fe326dbcc3c4d457894608699f99c4bdfc1b1eb20c3fd6ccaac16a838600bbdd4442ecc4e3fd73ec478b418; Storage location: Root; Evidence ID: 100001; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100002,250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf,2025-02-07,Welcome to Areal Property  Your New Property Management Team,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,geopod-ismtpd-9,bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9,0,4f574d2ab1f141366d7fa8ea744be9628470fbf14d8454d5246924faebab23af,e5a477641d74f3f101c2643185747ecdaebf2a34d6058744bd4d92b910b173037e28432a53b1e75f8395a9baa74bee02cc888fcc93d613711d77ba35b213d71f,Document,,Root,200002,5002,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf'; Document date: 2025-02-07; Subject: Welcome to Areal Property  Your New Property Management Team; Categorized as: Document; Email Message ID: bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9; Email address: bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9; Email domain: geopod-ismtpd-9; SHA256 hash: 4f574d2ab1f141366d7fa8ea744be9628470fbf14d8454d5246924faebab23af; SHA512 hash: e5a477641d74f3f101c2643185747ecdaebf2a34d6058744bd4d92b910b173037e28432a53b1e75f8395a9baa74bee02cc888fcc93d613711d77ba35b213d71f; Storage location: Root; Evidence ID: 100002; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100003,250207-Emergency Maintenance Trades Contact List Hawthorn.pdf,2025-02-07,250207-Emergency Maintenance Trades Contact List Hawthorn,,,,0,1d9f47107824120f6d181ad7d6fa97cde470461712ec4b99ef0f8891b0cd0db6,9d98c599a10dd5463b8828702cc09f2da5881167cd83114ef332eac390f9c8e30804fbd1340802d2e7b8f36044728062997d8be6c30d05805fed5888e0eb2c4a,Maintenance,,Root,200003,5003,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250207-Emergency Maintenance Trades Contact List Hawthorn.pdf'; Document date: 2025-02-07; Subject: 250207-Emergency Maintenance Trades Contact List Hawthorn; Categorized as: Maintenance; SHA256 hash: 1d9f47107824120f6d181ad7d6fa97cde470461712ec4b99ef0f8891b0cd0db6; SHA512 hash: 9d98c599a10dd5463b8828702cc09f2da5881167cd83114ef332eac390f9c8e30804fbd1340802d2e7b8f36044728062997d8be6c30d05805fed5888e0eb2c4a; Storage location: Root; Evidence ID: 100003; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100004,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf",2025-02-25,"Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,geopod-ismtpd-7,VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7,0,af91de036b7da6d17ae97873a24b20871f5d48bfe758f253bc35267d8106f2e4,c991ed585e167fe6aa7ab243aec6067c1dd26ffd1b6d9126f6de7af72cad7710084d620e6902547583ab712f40c178a420c29af4d9fd25ac87f65464c3fc2893,Receipt,,Root,200004,5004,2025-11-12T03:28:05,2025-11-12T03:28:05,"Document filename: '250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf'; Document date: 2025-02-25; Subject: Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000; Categorized as: Receipt; Email Message ID: VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7; Email address: VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7; Email domain: geopod-ismtpd-7; SHA256 hash: af91de036b7da6d17ae97873a24b20871f5d48bfe758f253bc35267d8106f2e4; SHA512 hash: c991ed585e167fe6aa7ab243aec6067c1dd26ffd1b6d9126f6de7af72cad7710084d620e6902547583ab712f40c178a420c29af4d9fd25ac87f65464c3fc2893; Storage location: Root; Evidence ID: 100004; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules"
100005,250225-Receipt # 85835.pdf,2025-02-25,250225-Receipt # 85835,,,,0,db6d11d528ee14caeffe4c76dcfe69186d87739250f7e41e7d6fa1872926ab92,400af5b99d610544046f80a88053a08767a756f7d53879d17f31aa664b0f5fba26b93fe8387e11cf1b998236021ee10fed09309308f03027de7baef3313f4dae,Receipt,,Root,200005,5005,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250225-Receipt # 85835.pdf'; Document date: 2025-02-25; Subject: 250225-Receipt # 85835; Categorized as: Receipt; SHA256 hash: db6d11d528ee14caeffe4c76dcfe69186d87739250f7e41e7d6fa1872926ab92; SHA512 hash: 400af5b99d610544046f80a88053a08767a756f7d53879d17f31aa664b0f5fba26b93fe8387e11cf1b998236021ee10fed09309308f03027de7baef3313f4dae; Storage location: Root; Evidence ID: 100005; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100006,250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf,2025-03-25,Areal monthly after-hours trades list update,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,geopod-ismtpd-9,TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9,0,3b55aaadf149bfeb7c6edd0ddd83e7f60079acd5b20d53903e9b38b1456318ae,ec09cea440e4a37e47e91a24f42b6101b2352e74f28854ef8e024b0cb64d62cca1d70b570571851a843f1c4126e1c7744d57941a338bb5c7a46a56fa91c4ab0b,Document,,Root,200006,5006,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf'; Document date: 2025-03-25; Subject: Areal monthly after-hours trades list update; Categorized as: Document; Email Message ID: TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9; Email address: TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9; Email domain: geopod-ismtpd-9; SHA256 hash: 3b55aaadf149bfeb7c6edd0ddd83e7f60079acd5b20d53903e9b38b1456318ae; SHA512 hash: ec09cea440e4a37e47e91a24f42b6101b2352e74f28854ef8e024b0cb64d62cca1d70b570571851a843f1c4126e1c7744d57941a338bb5c7a46a56fa91c4ab0b; Storage location: Root; Evidence ID: 100006; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100007,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf",2025-03-25,"Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,geopod-ismtpd-canary-0,rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0,0,2132fc2473290055e1778d19f4927bce4572013b0265a7538b6ce2d50fdfa9d0,474be8254073b898f16293d15e392a5216e07e6a4f1fb0931e2d97db42ae2b58c7589d85d03f2ce474aa0798dc1bdd2c9c0ccb1d94aba48ece740c2176ec1d84,Receipt,,Root,200007,5007,2025-11-12T03:28:05,2025-11-12T03:28:05,"Document filename: '250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf'; Document date: 2025-03-25; Subject: Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000; Categorized as: Receipt; Email Message ID: rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0; Email address: rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0; Email domain: geopod-ismtpd-canary-0; SHA256 hash: 2132fc2473290055e1778d19f4927bce4572013b0265a7538b6ce2d50fdfa9d0; SHA512 hash: 474be8254073b898f16293d15e392a5216e07e6a4f1fb0931e2d97db42ae2b58c7589d85d03f2ce474aa0798dc1bdd2c9c0ccb1d94aba48ece740c2176ec1d84; Storage location: Root; Evidence ID: 100007; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules"
100008,250325-Receipt # 87045.pdf,2025-03-25,250325-Receipt # 87045,,,,0,c43d54e6967ede60763b7257167beb90d198c07436d598d8e3e025c7fc064ee5,89fcc62d1bccb0588fc4f59fb22359c4f4d8450516b4547c9dd644603d97600911c933a5dd878395a99b7dc8cdfc0cc0db01c1a1347c57ba4a487bda82dabb6b,Receipt,,Root,200008,5008,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250325-Receipt # 87045.pdf'; Document date: 2025-03-25; Subject: 250325-Receipt # 87045; Categorized as: Receipt; SHA256 hash: c43d54e6967ede60763b7257167beb90d198c07436d598d8e3e025c7fc064ee5; SHA512 hash: 89fcc62d1bccb0588fc4f59fb22359c4f4d8450516b4547c9dd644603d97600911c933a5dd878395a99b7dc8cdfc0cc0db01c1a1347c57ba4a487bda82dabb6b; Storage location: Root; Evidence ID: 100008; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100009,250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf,2025-04-01,Areal monthly after-hours trades list update,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,geopod-ismtpd-0,LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0,0,dfaca1f417b41fa1adcc0931bcb874001aefb76bc6212377f7b3bfdd6cc163a0,971ca619d4be822757049af17233d85ecea45f7c091a05bb044453364649b1e049aa7364f27aba8c3b2b39765f4b0fad341b4fa2eee5660b98f21577e7c49197,Document,,Root,200009,5009,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf'; Document date: 2025-04-01; Subject: Areal monthly after-hours trades list update; Categorized as: Document; Email Message ID: LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0; Email address: LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0; Email domain: geopod-ismtpd-0; SHA256 hash: dfaca1f417b41fa1adcc0931bcb874001aefb76bc6212377f7b3bfdd6cc163a0; SHA512 hash: 971ca619d4be822757049af17233d85ecea45f7c091a05bb044453364649b1e049aa7364f27aba8c3b2b39765f4b0fad341b4fa2eee5660b98f21577e7c49197; Storage location: Root; Evidence ID: 100009; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100010,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf,2025-04-02,Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com,,,,0,0f3b36778de3b55ea63e8a66b7a6d01bd2df529fa884958915b0eee6bd11f624,7cef2fb88ff2d3f22c755348a77a359895e9a5efc8e3076de3f1d71ec1d88e6174cdca13d1712b54dadae97a3ac552b581b6808d93aca5328a1e72b651fc5f65,Maintenance,,Root,200010,5010,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf'; Document date: 2025-04-02; Subject: Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com; Categorized as: Maintenance; SHA256 hash: 0f3b36778de3b55ea63e8a66b7a6d01bd2df529fa884958915b0eee6bd11f624; SHA512 hash: 7cef2fb88ff2d3f22c755348a77a359895e9a5efc8e3076de3f1d71ec1d88e6174cdca13d1712b54dadae97a3ac552b581b6808d93aca5328a1e72b651fc5f65; Storage location: Root; Evidence ID: 100010; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100011,250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com.pdf,2025-04-08,Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com,,,,0,e9b9a92619d8459886cdd5ec493b517c1566f7eb9d6d23d52bdab8824996c01f,921b3783420d77494f5111382a6d1d859fae515f5105718ef2d3b09a128354fe8bd13b065e3c4a9360ba572bf955b1bd6c3e8f917c805d74930bd0a397c1652d,Maintenance,,Root,200011,5011,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com.pdf'; Document date: 2025-04-08; Subject: Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com; Categorized as: Maintenance; SHA256 hash: e9b9a92619d8459886cdd5ec493b517c1566f7eb9d6d23d52bdab8824996c01f; SHA512 hash: 921b3783420d77494f5111382a6d1d859fae515f5105718ef2d3b09a128354fe8bd13b065e3c4a9360ba572bf955b1bd6c3e8f917c805d74930bd0a397c1652d; Storage location: Root; Evidence ID: 100011; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100012,250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,2025-04-09,Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails,ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com,ME3PR01MB8241.ausprd01.prod.outlook.com,ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com,0,1b80f26ef4d5702a3add136b9dfb319b68619f1c410ec666069d4815ab707a68,575a2b4b707b7cd37733a563941bfbc44d6039e7170bfcd71324de3483d4c1ac5f77cda4cd92727accc4ba8e28523bd81cdad73369f17ff102cb376c93c7754f,Maintenance,,Root,200012,5012,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf'; Document date: 2025-04-09; Subject: Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails; Categorized as: Maintenance; Email Message ID: ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com; Email address: ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com; Email domain: ME3PR01MB8241.ausprd01.prod.outlook.com; SHA256 hash: 1b80f26ef4d5702a3add136b9dfb319b68619f1c410ec666069d4815ab707a68; SHA512 hash: 575a2b4b707b7cd37733a563941bfbc44d6039e7170bfcd71324de3483d4c1ac5f77cda4cd92727accc4ba8e28523bd81cdad73369f17ff102cb376c93c7754f; Storage location: Root; Evidence ID: 100012; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100013,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com.pdf,2025-04-16,Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com,mail.gmail.com,CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com,0,a0c5da6a77b515da7822ab5af2dde76fcc22ca0d0be099237ba81d7149cb6550,e6a46bb88ac42a2ac1250cd3e305fefcccc959ac4724051c899d2c1a315367f2d23c33fb997a2e11642efd9b1ca55be2c7edba44723ea383e63bd9734dc06855,Document,,Root,200013,5013,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com.pdf'; Document date: 2025-04-16; Subject: Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803); Categorized as: Document; Email Message ID: CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com; Email address: CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com; Email domain: mail.gmail.com; SHA256 hash: a0c5da6a77b515da7822ab5af2dde76fcc22ca0d0be099237ba81d7149cb6550; SHA512 hash: e6a46bb88ac42a2ac1250cd3e305fefcccc959ac4724051c899d2c1a315367f2d23c33fb997a2e11642efd9b1ca55be2c7edba44723ea383e63bd9734dc06855; Storage location: Root; Evidence ID: 100013; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100014,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,2025-04-16,Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com,ME3PR01MB8241.ausprd01.prod.outlook.com,ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com,0,185a39e8633487ac10ae432f6fc8387e361c8f93c85277e84ac89465a8c3fcd3,392893d447af133a176baa4306986e6c26bf697c37ff31b865e679fd4360a9bb16b693b6c9f4e930bc0494a85296643e19e79356ffcdc92bad63b1ab73d92a21,Document,,Root,200014,5014,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf'; Document date: 2025-04-16; Subject: Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803); Categorized as: Document; Email Message ID: ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com; Email address: ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com; Email domain: ME3PR01MB8241.ausprd01.prod.outlook.com; SHA256 hash: 185a39e8633487ac10ae432f6fc8387e361c8f93c85277e84ac89465a8c3fcd3; SHA512 hash: 392893d447af133a176baa4306986e6c26bf697c37ff31b865e679fd4360a9bb16b693b6c9f4e930bc0494a85296643e19e79356ffcdc92bad63b1ab73d92a21; Storage location: Root; Evidence ID: 100014; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100015,250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com.pdf,2025-04-16,Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com,,,,0,75f251fb7cde58d1e25a57cae73bdc910039300a2f20bd7abe13acb73cb92c1e,d3f2948369a4a6dfe9e308aef7407da9715e02fd416cf2aab7066f25968f9c894583d5822a5002b9fdf82b46c51166ec97cbce6b8f12d458d6593f4cd7cd80a5,Document,,Root,200015,5015,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com.pdf'; Document date: 2025-04-16; Subject: Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com; Categorized as: Document; SHA256 hash: 75f251fb7cde58d1e25a57cae73bdc910039300a2f20bd7abe13acb73cb92c1e; SHA512 hash: d3f2948369a4a6dfe9e308aef7407da9715e02fd416cf2aab7066f25968f9c894583d5822a5002b9fdf82b46c51166ec97cbce6b8f12d458d6593f4cd7cd80a5; Storage location: Root; Evidence ID: 100015; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
100016,250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,2025-04-20,Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com,ME3PR01MB8241.ausprd01.prod.outlook.com,c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com,0,fc544dad755b72b7764da7b397d1cdd8197710abc344b097b8fec3d3e1abeaaa,cafe2d20b559a45e88e003660578f248a8224ed30578681e8aa4bdc09dac4ad75d8ae7ea23f6c61ed32b8d4a4be372c43a8052eabe76305388a0010b079d9e8d,Document,,Root,200016,5016,2025-11-12T03:28:05,2025-11-12T03:28:05,Document filename: '250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf'; Document date: 2025-04-20; Subject: Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803); Categorized as: Document; Email Message ID: c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com; Email address: c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com; Email domain: ME3PR01MB8241.ausprd01.prod.outlook.com; SHA256 hash: fc544dad755b72b7764da7b397d1cdd8197710abc344b097b8fec3d3e1abeaaa; SHA512 hash: cafe2d20b559a45e88e003660578f248a8224ed30578681e8aa4bdc09dac4ad75d8ae7ea23f6c61ed32b8d4a4be372c43a8052eabe76305388a0010b079d9e8d; Storage location: Root; Evidence ID: 100016; Last modified: 2025-11-12T03:28:05; Document integrity verified through cryptographic hashing; Evidence is authenticated and suitable for inclusion in legal proceedings as an exhibit; Chain of custody maintained; document is legally admissible subject to tribunal rules
